1	36	22	-8
1	-44	34	-8
1	46	16	6
1	-4	-40	16
2	-30	30	-8
2	30	26	-8
2	-26	28	2
2	-34	54	12
2	2	-12	-10
3	-40	-66	-30
3	56	-76	0
3	-42	-48	-20
3	2	12	10
3	52	42	-10
4	-20	-2	-10
4	26	-2	-10
4	-28	-8	-16
4	42	-40	-22
4	-44	-44	-22
4	26	-54	-10
4	-26	-64	-20
4	-34	-66	-14
5	-48	-54	-18
5	48	-54	-14
6	16	-26	-12
6	-4	-38	-6
6	42	22	2
6	36	0	14
6	36	10	16
6	-36	12	-10
6	-36	-2	14
6	8	26	-2
6	-6	36	8
6	-8	18	-14
6	-2	44	-16
6	14	0	-4
6	-20	0	-8
6	-10	-20	-22
6	10	22	4
6	-24	20	18
6	26	4	6
6	-4	-4	0
6	-18	-32	8
6	12	-60	-22
7	14	-24	-16
7	34	2	6
8	10	-32	6
8	16	-22	-2
8	12	-44	-26
8	8	-64	-28
8	8	-44	-16
8	-2	-58	-28
8	-10	-62	-24
8	-2	-68	-6
8	-48	14	14
8	-16	-30	-4
9	10	-36	-26
9	-2	-30	-16
9	14	-22	-2
9	-10	-26	-6
9	-6	-10	0
9	36	12	2
9	-38	14	-4
9	-42	-4	12
9	-6	36	12
9	26	-2	6
9	-22	4	2
9	-16	6	-6
9	-18	-30	6
9	10	-58	-22
9	-6	-50	-24
9	0	-62	-24
9	34	-52	-30
9	-48	26	-8
9	20	-96	-16
9	-6	-100	-16
9	-56	6	-24
9	-50	10	-26
10	12	-14	-2
10	-16	-10	-12
10	30	16	18
10	10	38	-10
10	4	40	10
10	-8	24	2
10	-2	38	12
10	10	-42	8
10	10	-58	12
10	-12	0	-4
11	-28	-44	10
11	-16	-12	16
11	-6	-64	-18
11	-2	60	0
11	-30	-20	-22
11	-24	-14	-12
12	-14	2	-24
13	30	-64	-18
13	-30	40	-12
13	22	52	-8
14	-26	2	-8
14	-28	0	-12
15	-36	54	-16
15	-44	18	-4
15	-48	-6	-4
15	46	8	-20
16	-28	44	16
16	0	58	-4
16	0	-52	-28
17	-50	10	-26
17	60	-6	-24
17	42	10	-18
17	48	6	-4
18	-42	22	-16
18	-6	60	6
18	56	22	2
19	-28	10	-20
19	-38	12	-28
19	-40	16	2
19	-30	0	-18
19	56	26	0
19	56	-10	-24
19	54	14	-30
19	36	4	-4
19	28	0	10
20	42	-56	-24
20	56	-42	8
20	46	-64	4
20	60	-12	-18
21	-12	-80	-10
21	-36	-20	-18
21	34	-34	0
21	-12	-30	12
21	-18	-18	8
21	-6	-6	4
21	16	-16	-2
21	-34	6	6
21	-42	-4	-6
21	40	-12	0
21	20	22	14
21	-8	18	10
21	34	-4	-2
22	42	30	14
22	-52	-74	-4
22	-44	-62	-18
23	-20	2	-22
24	-50	-80	-6
24	-36	-70	6
24	-2	-80	-2
24	-46	30	-4
25	-20	-4	-22
26	-56	26	16
26	44	22	6
26	52	-52	4
27	-26	-6	-24
28	-50	34	-2
28	-56	-72	12
28	-44	-62	-20
28	-68	-48	8
29	-20	4	-22
30	-2	-82	2
31	-30	-34	-22
32	2	44	16
32	-14	30	2
32	26	10	-8
32	0	12	4
32	-14	18	-8
32	-18	-12	12
33	0	36	14
33	2	44	16
33	-14	36	2
33	-12	12	-14
33	-10	18	-8
33	22	10	-8
33	6	12	10
33	-2	8	4
33	-18	16	-8
33	16	-4	0
33	-16	-12	12
33	-18	-20	16
33	6	0	4
33	-42	12	4
33	-6	-44	-12
34	12	0	14
34	-4	32	-2
34	-6	38	-8
34	-2	38	10
35	20	12	-4
35	6	20	14
35	-18	12	-8
35	12	26	10
35	20	34	10
35	-42	12	4
35	-44	18	10
35	20	46	-16
36	10	18	14
36	-28	-16	12
